,trimestre,nomeBandeira,nomeFuncao,produto,modalidade,qtdCartoesEmitidos,qtdCartoesAtivos,qtdTransacoesNacionais,valorTransacoesNacionais,qtdTransacoesInternacionais,valorTransacoesInternacionais
0,20262,American Express,Crédito,Platinum,Co-branded,14057,8600,243521,33762390.14,1218,490949.15
1,20262,Elo,Crédito,Corporativo,Puro,188680,117884,461434,151589285.39,1218,788337.14
2,20262,Elo,Crédito,Platinum,Puro,177366,129101,4542016,677750964.78,6568,1435485.1
3,20261,MasterCard,Débito,Premium,Puro,419851,183398,4774908,396925446.16,805,434238.4
4,20262,Outras,Crédito,Básico Internacional,Puro,1319572,510119,44655,5378085.15,0,0.0
5,20261,MasterCard,Crédito,Empresarial,Co-branded,410794,18889,141830,18160619.41,1,0.01
6,20262,VISA,Pré-Pago,Básico Internacional,Puro,142946393,22776106,309519049,12598787322.67,1869645,206330189.9
7,20261,VISA,Crédito,Básico Nacional,Híbrido,497560,41604,1220763,172408905.34,341,37543.59
8,20261,VISA,Crédito,Intermediário,Híbrido,1602069,870586,15887598,2562912508.46,132509,32845089.08
9,20262,VISA,Crédito,Empresarial,Puro,5148535,2687960,65528549,21842244506.87,1057799,639224100.05
10,20262,MasterCard,Crédito,Premium,Puro,11580736,8207634,596873711,114609619631.86,13486585,5746143019.61
11,20262,Elo,Pré-Pago,Básico Internacional,Puro,357354,4265,203057,15508818.49,1,0.01
12,20262,Elo,Débito,Básico Nacional,Co-branded,226183,137479,507263,66642898.2,0,0.0
13,20262,MasterCard,Débito,Intermediário,Co-branded,28336466,8561593,186377086,5874422142.34,0,0.0
14,20262,Cheque Eletrônico,Crédito,Básico Internacional,Puro,7094,1620,176,24090.69,1,54.59
15,20262,MasterCard,Débito,Premium,Co-branded,518081,148004,2673366,137959536.07,0,0.0
16,20262,American Express,Crédito,Premium,Puro,492959,395967,17395009,4570432520.3,370091,327382902.43
17,20261,MasterCard,Débito,Básico Internacional,Híbrido,294636,85729,585411,47104750.42,15,1793.37
18,20261,Elo,Crédito,Premium,Puro,393806,286690,12977639,2604521523.77,41125,18929268.56
19,20262,Elo,Pré-Pago,Básico Internacional,Co-branded,569879,278814,1722841,128975877.0,1109,174036.62
20,20262,MasterCard,Crédito,Básico Internacional,Co-branded,2934087,392840,4999120,606567638.71,13178,3287415.75
21,20262,VISA,Débito,Básico Internacional,Puro,198415772,45566542,1244413950,76095774879.5,45163,8140025.14
22,20262,VISA,Crédito,Platinum,Co-branded,415792,338011,20371432,3591726198.12,388386,81651055.63
23,20261,American Express,Crédito,Corporativo,Puro,57624,43760,1103801,1096278995.07,92541,123114326.06
24,20262,VISA,Débito,Intermediário,Puro,9865410,5351055,117995258,7286708748.57,3463,480143.77
25,20261,VISA,Pré-Pago,Intermediário,Co-branded,73189,1690,8852,397992.65,0,0.0
26,20262,American Express,Crédito,Básico Nacional,Puro,29750,22574,429408,65736505.35,1885,665396.69
27,20261,MasterCard,Crédito,Outros,Co-branded,1096636,15532,2551,173638.03,11,487.62
28,20261,MasterCard,Crédito,Intermediário,Puro,105621092,43586858,1171756893,113292655307.64,7144056,812778246.11
29,20262,MasterCard,Débito,Empresarial,Puro,4152736,373259,18708926,1253153749.57,150,62594.93
30,20262,VISA,Crédito,Empresarial,Co-branded,94,85,1102,942713.46,13,2301.78
31,20261,MasterCard,Pré-Pago,Platinum,Puro,11726979,4528812,166011521,7875582948.2,0,0.0
32,20262,Elo,Crédito,Básico Nacional,Puro,4628278,2670868,84807005,9767654022.68,85997,24056821.8
33,20261,American Express,Crédito,Platinum,Puro,266,152,3763,6092973.56,948,11410196.97
34,20261,VISA,Crédito,Outros,Puro,15495575,6734058,129559415,11409488609.81,576210,421725561.44
35,20261,VISA,Pré-Pago,Intermediário,Puro,23370,892,5046,246835.31,0,0.0
36,20261,VISA,Crédito,Básico Internacional,Co-branded,15025027,4108827,31009447,3750927535.36,81424,10109635.63
37,20262,Elo,Pré-Pago,Básico Nacional,Co-branded,4877,713,3316,270019.78,0,0.0
38,20262,Outras,Crédito,Outros,Puro,8543506,6117337,272297267,7761116480.52,0,0.0
39,20262,VISA,Crédito,Premium,Co-branded,398650,366675,32164112,8564554002.7,1019788,352085536.07
40,20261,VISA,Débito,Empresarial,Puro,3757537,1221979,37909889,3556550132.92,8640,1552739.78
41,20261,VISA,Débito,Básico Internacional,Co-branded,6369,1740,17866,1730935.04,0,0.0
42,20262,MasterCard,Pré-Pago,Intermediário,Puro,73576442,29193811,1279729639,45298092985.25,19,8670.15
43,20262,American Express,Crédito,Platinum,Puro,262,148,4007,10676727.14,1347,10226660.19
44,20261,MasterCard,Crédito,Intermediário,Co-branded,64377808,36415311,176989608,19128234516.87,523775,66155927.09
45,20262,Elo,Crédito,Empresarial,Puro,390174,236926,6683502,3189034501.53,24264,12469518.37
46,20262,MasterCard,Crédito,Platinum,Co-branded,8007731,5674871,52186552,6710769808.62,570703,112810313.08
47,20262,MasterCard,Crédito,Platinum,Puro,26659652,16980271,677268292,84444522796.19,5789618,946975784.92
48,20262,VISA,Débito,Premium,Puro,2045136,1269234,44496539,3829780054.21,233485,63934363.44
49,20262,VISA,Crédito,Básico Nacional,Co-branded,6374252,324499,3543654,463515801.44,4137,389419.08
50,20261,MasterCard,Débito,Básico Internacional,Co-branded,1389972,40741,923091,40260842.09,0,0.0
51,20262,MasterCard,Pré-Pago,Básico Nacional,Puro,364225,68187,1391369,88156227.76,2464,208790.55
52,20262,Elo,Pré-Pago,Empresarial,Puro,311731,130591,2790208,248707346.21,0,0.0
53,20261,VISA,Débito,Platinum,Puro,8722283,3372880,40332625,3299969140.28,1291537,217385411.64
54,20262,Hipercard,Crédito,Intermediário,Puro,389,12,1,0.01,1,0.01
55,20261,Elo,Crédito,Básico Internacional,Co-branded,830254,67623,773978,69900047.86,250,37946.43
56,20262,Cheque Eletrônico,Crédito,Básico Nacional,Puro,13790,3785,9,1968.57,0,0.0
57,20261,American Express,Crédito,Premium,Puro,493018,397787,16853419,4488476645.43,413823,406651180.64
58,20262,MasterCard,Débito,Básico Nacional,Puro,325870,227507,8081515,632835353.89,20,6398.42
59,20261,VISA,Crédito,Premium,Co-branded,407139,376317,31278247,8516727101.68,836603,343464402.38
60,20262,Outras,Pré-Pago,Outros,Puro,7676200,5869400,271460167,7697607886.54,0,0.0
61,20261,MasterCard,Pré-Pago,Premium,Puro,924619,274434,10388973,638522009.28,0,0.0
62,20262,VISA,Pré-Pago,Básico Nacional,Puro,983082,246780,3240338,1824707778.32,44220,6892004.96
63,20261,VISA,Crédito,Básico Nacional,Puro,14401301,8446179,212633947,22241451199.26,415697,104636165.66
64,20261,VISA,Crédito,Básico Nacional,Co-branded,6404015,357986,3510664,456762479.52,3579,344124.42
65,20261,Outras,Débito,Empresarial,Puro,34,9,7,1230.04,0,0.0
66,20261,VISA,Crédito,Empresarial,Co-branded,94,88,1117,1065046.34,6,1040.47
67,20261,VISA,Pré-Pago,Corporativo,Puro,1269490,119292,3910302,620660815.41,526810,129168744.01
68,20262,VISA,Crédito,Outros,Puro,16626543,7513949,143940682,12332301741.81,623140,414571875.07
69,20262,MasterCard,Débito,Básico Internacional,Híbrido,334810,94305,603489,48725205.63,22,3679.23
70,20262,Elo,Pré-Pago,Outros,Puro,3437956,1751548,16684139,1259838251.22,0,0.0
71,20261,VISA,Crédito,Premium,Puro,12658994,7291223,466675081,89984654304.49,7474857,3864706299.81
72,20261,MasterCard,Débito,Empresarial,Puro,3939692,366964,10698981,613882195.32,136,102811.13
73,20262,Elo,Pré-Pago,Básico Nacional,Puro,75677,46,56,1729.05,0,0.0
74,20261,Elo,Pré-Pago,Básico Nacional,Co-branded,4448,683,1709,138845.37,0,0.0
75,20261,VISA,Débito,Intermediário,Puro,10711901,5555604,125829113,7510267682.26,3800,513832.21
76,20261,MasterCard,Débito,Intermediário,Co-branded,28542842,8590852,184047662,5743553191.6,0,0.0
77,20261,Elo,Crédito,Básico Internacional,Puro,3373633,2100333,47124703,8763273553.79,112045,34945354.57
78,20262,American Express,Crédito,Intermediário,Puro,302834,229901,9121419,1506259516.47,61940,27541572.66
79,20262,Bandeira própria,Crédito,Intermediário,Puro,152454,31529,2347950,675983473.3,0,0.0
80,20261,MasterCard,Débito,Básico Nacional,Puro,340321,234609,8140551,630600702.21,40,8676.85
81,20261,VISA,Crédito,Empresarial,Híbrido,15550,8030,78815,108303768.05,259,130646.74
82,20261,Elo,Pré-Pago,Básico Nacional,Puro,75677,46,56,1729.05,0,0.0
83,20261,VISA,Crédito,Básico Internacional,Híbrido,7395785,1871497,35831288,4871255812.66,136856,27936216.77
84,20261,VISA,Débito,Básico Nacional,Puro,17699758,7974841,227140496,14047001942.01,8467,870718.05
85,20261,VISA,Pré-Pago,Básico Internacional,Puro,135305575,21573137,284514144,11686553881.19,1762802,211479150.95
86,20262,MasterCard,Débito,Platinum,Puro,1827455,559153,19235073,1251799060.35,471,160009.2
87,20262,MasterCard,Pré-Pago,Premium,Puro,1008356,278573,11146918,681940898.42,0,0.0
88,20261,MasterCard,Débito,Intermediário,Híbrido,155081,61795,777534,70278023.51,1,100.43
89,20261,MasterCard,Pré-Pago,Intermediário,Puro,72189872,29864375,1256954419,44348575443.86,4,3735.28
90,20262,VISA,Crédito,Básico Internacional,Híbrido,7775775,1923067,35919648,4861880456.41,147974,28452130.5
91,20261,VISA,Débito,Básico Nacional,Co-branded,311916,280698,735832,99005295.5,0,0.0
92,20261,Outras,Pré-Pago,Outros,Puro,7737100,5554450,268158963,7178549033.06,0,0.0
93,20261,Outras,Débito,Corporativo,Puro,52419,27847,77696,7684628.73,0,0.0
94,20262,MasterCard,Pré-Pago,Outros,Puro,1242652,101987,1377789,133668420.93,10644,1431047.39
95,20262,Outras,Débito,Outros,Puro,3929642,1617215,33849287,3639364703.38,0,0.0
96,20261,MasterCard,Débito,Intermediário,Puro,86121884,44435553,959970419,45459823601.48,35828,8464313.7
97,20261,MasterCard,Débito,Empresarial,Co-branded,410785,40077,1342557,68043657.84,0,0.0
98,20261,Bandeira própria,Crédito,Básico Nacional,Híbrido,616524,263996,2514268,444010022.39,0,0.0
99,20261,American Express,Crédito,Empresarial,Puro,33303,23931,1064456,720143692.45,41741,58384622.76
100,20261,VISA,Pré-Pago,Básico Nacional,Puro,1099133,252023,2718327,1730626995.68,45085,6651508.86
101,20262,VISA,Crédito,Platinum,Puro,13646968,9247309,331950652,47015048361.46,2538744,547508446.42
102,20262,VISA,Pré-Pago,Básico Internacional,Co-branded,885348,22031,454937,20028231.34,84,4254.0
103,20262,MasterCard,Pré-Pago,Corporativo,Puro,2111731,154295,333022,19547561.92,0,0.0
104,20261,Elo,Crédito,Platinum,Puro,172623,122812,4259776,644975426.31,6695,1560380.14
105,20262,Elo,Crédito,Intermediário,Puro,10176848,3036930,56135061,6724452596.42,21981,3254427.34
106,20262,Elo,Pré-Pago,Corporativo,Puro,1072991,578155,2243904,133414495.97,0,0.0
107,20261,MasterCard,Pré-Pago,Básico Internacional,Puro,3962448,2120560,30874857,1375707929.19,260726,24175845.11
108,20262,MasterCard,Crédito,Empresarial,Co-branded,566931,36038,198992,24474985.51,1,0.01
109,20262,MasterCard,Crédito,Básico Nacional,Co-branded,13840987,994804,12271025,1728628349.55,32734,4552537.32
110,20261,MasterCard,Pré-Pago,Empresarial,Puro,5944874,1191121,62293665,3584209523.16,13,15924.12
111,20262,MasterCard,Crédito,Empresarial,Puro,11137436,4248447,89675406,25216168370.98,2058296,1062313409.9
112,20262,Elo,Débito,Básico Internacional,Puro,670547,510973,2311977,134581939.84,7,1237.78
113,20261,VISA,Crédito,Intermediário,Co-branded,32706990,23166835,233696427,31862068559.27,551321,94880626.87
114,20262,Bandeira própria,Crédito,Básico Nacional,Híbrido,614317,258860,2610758,471959277.05,0,0.0
115,20261,VISA,Pré-Pago,Empresarial,Puro,3095308,807054,7459506,484332502.66,26276,2994969.19
116,20262,VISA,Crédito,Intermediário,Híbrido,1685748,920086,16230762,2546100044.01,144977,33487701.61
117,20262,Elo,Crédito,Básico Internacional,Puro,3745809,2357290,51390131,9240885597.02,151018,37109080.22
