data_hora,temperatura,sensacao_termica,temperatura_min,temperatura_max,pressao,umidade,descricao,condicao,nuvens,vento_velocidade,vento_direcao,visibilidade,probabilidade_chuva,chuva_3h
2026-08-28 03:00:00,13.31,12.21,13.31,13.31,1018,58,céu limpo,Clear,8,10.4,234,10000,0.37,0.0
2026-08-28 06:00:00,13.1,12.06,12.69,13.1,1019,61,chuva leve,Rain,9,9.94,224,10000,0.44,0.52
2026-08-28 09:00:00,12.64,11.63,12.3,12.64,1021,64,chuva leve,Rain,11,8.33,212,10000,0.58,0.54
2026-08-28 12:00:00,12.52,11.45,12.52,12.52,1025,62,chuva leve,Rain,21,8.11,185,10000,0.63,0.54
2026-08-28 15:00:00,12.66,11.44,12.66,12.66,1025,56,chuva leve,Rain,59,7.89,188,10000,0.32,0.19
2026-08-28 18:00:00,12.67,11.43,12.67,12.67,1028,55,nublado,Clouds,60,7.08,177,10000,0.0,0.0
2026-08-28 21:00:00,12.53,11.35,12.53,12.53,1030,58,nublado,Clouds,83,5.92,169,10000,0.0,0.0
2026-08-29 00:00:00,12.38,11.06,12.38,12.38,1031,53,nublado,Clouds,73,4.47,178,10000,0.0,0.0
2026-08-29 03:00:00,12.09,10.69,12.09,12.09,1031,51,algumas nuvens,Clouds,22,2.57,186,10000,0.0,0.0
2026-08-29 06:00:00,12.14,10.77,12.14,12.14,1032,52,nuvens dispersas,Clouds,40,2.9,213,10000,0.0,0.0
2026-08-29 09:00:00,12.25,10.81,12.25,12.25,1034,49,nublado,Clouds,89,1.94,230,10000,0.0,0.0
2026-08-29 12:00:00,12.62,11.27,12.62,12.62,1033,51,nublado,Clouds,60,3.12,293,10000,0.0,0.0
2026-08-29 15:00:00,13.03,11.8,13.03,13.03,1032,54,algumas nuvens,Clouds,17,4.68,281,10000,0.0,0.0
2026-08-29 18:00:00,13.15,12.04,13.15,13.15,1032,58,algumas nuvens,Clouds,17,5.82,291,10000,0.0,0.0
2026-08-29 21:00:00,13.63,12.59,13.63,13.63,1034,59,nublado,Clouds,93,7.22,284,10000,0.0,0.0
2026-08-30 00:00:00,13.97,12.99,13.97,13.97,1032,60,nublado,Clouds,94,7.93,281,10000,0.0,0.0
2026-08-30 03:00:00,13.97,13.02,13.97,13.97,1031,61,nublado,Clouds,60,7.77,282,10000,0.0,0.0
2026-08-30 06:00:00,13.9,13.1,13.9,13.9,1031,67,nublado,Clouds,72,7.28,277,10000,0.0,0.0
2026-08-30 09:00:00,14.58,13.74,14.58,14.58,1031,63,nublado,Clouds,100,8.38,287,10000,0.0,0.0
2026-08-30 12:00:00,14.54,13.83,14.54,14.54,1031,68,nublado,Clouds,100,8.61,285,10000,0.0,0.0
2026-08-30 15:00:00,14.78,14.12,14.78,14.78,1028,69,nublado,Clouds,100,8.87,292,10000,0.0,0.0
2026-08-30 18:00:00,15.04,14.43,15.04,15.04,1028,70,nublado,Clouds,100,9.63,302,10000,0.0,0.0
2026-08-30 21:00:00,15.12,14.44,15.12,15.12,1028,67,nublado,Clouds,94,10.57,302,10000,0.0,0.0
2026-08-31 00:00:00,15.1,14.57,15.1,15.1,1027,73,chuva leve,Rain,97,10.97,301,10000,0.2,0.13
2026-08-31 03:00:00,15.09,14.74,15.09,15.09,1026,80,chuva leve,Rain,100,11.18,302,10000,0.2,0.26
2026-08-31 06:00:00,15.37,15.1,15.37,15.37,1025,82,chuva leve,Rain,100,12.54,300,10000,0.28,0.31
2026-08-31 09:00:00,15.79,15.54,15.79,15.79,1025,81,nublado,Clouds,58,13.29,304,10000,0.0,0.0
2026-08-31 12:00:00,16.34,16.07,16.34,16.34,1024,78,nublado,Clouds,73,13.8,309,10000,0.0,0.0
2026-08-31 15:00:00,16.52,16.32,16.52,16.52,1023,80,nublado,Clouds,89,12.7,291,10000,0.07,0.0
2026-08-31 18:00:00,16.1,16.04,16.1,16.1,1024,87,chuva leve,Rain,94,10.85,280,10000,0.39,0.29
2026-08-31 21:00:00,15.3,15.31,15.3,15.3,1026,93,chuva leve,Rain,100,5.45,232,10000,0.83,0.52
2026-09-01 00:00:00,14.49,14.14,14.49,14.49,1027,82,chuva leve,Rain,100,5.51,159,10000,0.66,0.35
2026-09-01 03:00:00,14.17,13.65,14.17,14.17,1027,77,nublado,Clouds,99,4.58,137,10000,0.09,0.0
2026-09-01 06:00:00,14.07,13.52,14.07,14.07,1027,76,nublado,Clouds,99,5.96,127,10000,0.0,0.0
2026-09-01 09:00:00,13.95,13.36,13.95,13.95,1029,75,nublado,Clouds,100,5.85,96,10000,0.0,0.0
2026-09-01 12:00:00,14.17,13.6,14.17,14.17,1028,75,nublado,Clouds,97,6.21,81,10000,0.0,0.0
2026-09-01 15:00:00,13.6,13.21,13.6,13.6,1026,84,chuva leve,Rain,100,6.45,77,9108,0.71,1.34
2026-09-01 18:00:00,14.65,14.52,14.65,14.65,1026,90,chuva leve,Rain,100,6.09,60,10000,0.97,1.99
2026-09-01 21:00:00,15.93,15.9,15.93,15.93,1026,89,chuva leve,Rain,100,3.55,292,10000,0.8,1.05
2026-09-02 00:00:00,15.52,15.43,15.52,15.52,1026,88,chuva leve,Rain,100,3.51,291,10000,0.85,0.1
